INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	INCHI_STRING	DATA_SOURCES	QSAR_READY_SMILES
ethosuximide	Approved Name	DTXSID7023019	Ethosuximide	77-67-8	3-Ethyl-3-methylpyrrolidine-2,5-dione	InChI=1S/C7H11NO2/c1-3-7(2)4-5(9)8-6(7)10/h3-4H2,1-2H3,(H,8,9,10)	50	CCC1(C)CC(=O)NC1=O
hydrastinine	Approved Name	DTXSID3048073	Hydrastinine	6592-85-4	6-Methyl-5,6,7,8-tetrahydro-2H-[1,3]dioxolo[4,5-g]isoquinolin-5-ol	InChI=1S/C11H13NO3/c1-12-3-2-7-4-9-10(15-6-14-9)5-8(7)11(12)13/h4-5,11,13H,2-3,6H2,1H3	17	CN1CCC2=CC3=C(OCO3)C=C2C1O
tolfenamic acid	Approved Name	DTXSID1045409	Tolfenamic acid	13710-19-5	2-(3-Chloro-2-methylanilino)benzoic acid	InChI=1S/C14H12ClNO2/c1-9-11(15)6-4-8-12(9)16-13-7-3-2-5-10(13)14(17)18/h2-8,16H,1H3,(H,17,18)	47	CC1=C(Cl)C=CC=C1NC1=C(C=CC=C1)C(O)=O
mafenide	Approved Name	DTXSID6047860	Mafenide	138-39-6	4-(Aminomethyl)benzene-1-sulfonamide	InChI=1S/C7H10N2O2S/c8-5-6-1-3-7(4-2-6)12(9,10)11/h1-4H,5,8H2,(H2,9,10,11)	24	NCC1=CC=C(C=C1)S(N)(=O)=O
aztreonam	Approved Name	DTXSID0022640	Aztreonam	78110-38-0	2-({[1-(2-Amino-1,3-thiazol-4-yl)-2-{[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino}-2-oxoethylidene]amino}oxy)-2-methylpropanoic acid	InChI=1S/C13H17N5O8S2/c1-5-7(10(20)18(5)28(23,24)25)16-9(19)8(6-4-27-12(14)15-6)17-26-13(2,3)11(21)22/h4-5,7H,1-3H3,(H2,14,15)(H,16,19)(H,21,22)(H,23,24,25)/t5-,7-/m0/s1	33	CC1C(NC(=O)C(=NOC(C)(C)C(O)=O)C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O
mefexamide	Approved Name	DTXSID5048475	Mefexamide	1227-61-8	N-[2-(Diethylamino)ethyl]-2-(4-methoxyphenoxy)acetamide	InChI=1S/C15H24N2O3/c1-4-17(5-2)11-10-16-15(18)12-20-14-8-6-13(19-3)7-9-14/h6-9H,4-5,10-12H2,1-3H3,(H,16,18)	16	CCN(CC)CCNC(=O)COC1=CC=C(OC)C=C1
nifenazone	Approved Name	DTXSID7045366	Nifenazone	2139-47-1	N-(1,5-Dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)pyridine-3-carboxamide	InChI=1S/C17H16N4O2/c1-12-15(19-16(22)13-7-6-10-18-11-13)17(23)21(20(12)2)14-8-4-3-5-9-14/h3-11H,1-2H3,(H,19,22)	29	CN1N(C(=O)C(NC(=O)C2=CN=CC=C2)=C1C)C1=CC=CC=C1
cloxacillin	Approved Name	DTXSID5022853	Cloxacillin	61-72-3	(2S,5R,6R)-6-{[3-(2-Chlorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	InChI=1S/C19H18ClN3O5S/c1-8-11(12(22-28-8)9-6-4-5-7-10(9)20)15(24)21-13-16(25)23-14(18(26)27)19(2,3)29-17(13)23/h4-7,13-14,17H,1-3H3,(H,21,24)(H,26,27)/t13-,14+,17-/m1/s1	32	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1Cl
metampicillin	Approved Name	DTXSID5048479	Metampicillin	6489-97-0	(2S,5R,6R)-3,3-Dimethyl-6-{[(2R)-2-(methylideneamino)-2-phenylacetyl]amino}-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	InChI=1S/C17H19N3O4S/c1-17(2)12(16(23)24)20-14(22)11(15(20)25-17)19-13(21)10(18-3)9-7-5-4-6-8-9/h4-8,10-12,15H,3H2,1-2H3,(H,19,21)(H,23,24)/t10-,11-,12+,15-/m1/s1	15	CC1(C)SC2C(NC(=O)C(N=C)C3=CC=CC=C3)C(=O)N2C1C(O)=O
iproniazid	Approved Name	DTXSID5023168	Iproniazid	54-92-2	N'-(Propan-2-yl)pyridine-4-carbohydrazide	InChI=1S/C9H13N3O/c1-7(2)11-12-9(13)8-3-5-10-6-4-8/h3-7,11H,1-2H3,(H,12,13)	30	CC(C)NNC(=O)C1=CC=NC=C1
pentoxifylline	Approved Name	DTXSID7023437	Pentoxifylline	6493-05-6	3,7-Dimethyl-1-(5-oxohexyl)-3,7-dihydro-1H-purine-2,6-dione	InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3	60	CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
sulfathiazole	Approved Name	DTXSID8026068	Sulfathiazole	72-14-0	4-Amino-N-(1,3-thiazol-2-yl)benzene-1-sulfonamide	InChI=1S/C9H9N3O2S2/c10-7-1-3-8(4-2-7)16(13,14)12-9-11-5-6-15-9/h1-6H,10H2,(H,11,12)	67	NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1
naphazoline	Approved Name	DTXSID3048449	Naphazoline	835-31-4	2-[(Naphthalen-1-yl)methyl]-4,5-dihydro-1H-imidazole	InChI=1S/C14H14N2/c1-2-7-13-11(4-1)5-3-6-12(13)10-14-15-8-9-16-14/h1-7H,8-10H2,(H,15,16)	24	C(C1=NCCN1)C1=CC=CC2=C1C=CC=C2
minaprine	Approved Name	DTXSID5048477	Minaprine	25905-77-5	4-Methyl-N-[2-(morpholin-4-yl)ethyl]-6-phenylpyridazin-3-amine	InChI=1S/C17H22N4O/c1-14-13-16(15-5-3-2-4-6-15)19-20-17(14)18-7-8-21-9-11-22-12-10-21/h2-6,13H,7-12H2,1H3,(H,18,20)	21	CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1
troleandomycin	Approved Name	DTXSID2023721	Troleandomycin	2751-09-9	(3S,5R,6S,7S,8R,11R,12S,13R,14S,15S)-12-[(4-O-Acetyl-2,6-dideoxy-3-O-methyl-alpha-L-arabino-hexopyranosyl)oxy]-14-{[2-O-acetyl-3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranosyl]oxy}-5,7,8,11,13,15-hexamethyl-4,10-dioxo-1,9-dioxaspiro[2.13]hexadecan-6-yl acetate	InChI=1S/C41H67NO15/c1-19-17-41(18-49-41)38(46)23(5)34(53-27(9)43)21(3)25(7)52-39(47)24(6)35(56-32-16-31(48-14)36(26(8)51-32)54-28(10)44)22(4)33(19)57-40-37(55-29(11)45)30(42(12)13)15-20(2)50-40/h19-26,30-37,40H,15-18H2,1-14H3/t19-,20+,21-,22+,23+,24+,25+,26-,30-,31-,32-,33-,34-,35-,36-,37+,40-,41-/m0/s1	32	COC1CC(OC2C(C)C(OC3OC(C)CC(C3OC(C)=O)N(C)C)C(C)CC3(CO3)C(=O)C(C)C(OC(C)=O)C(C)C(C)OC(=O)C2C)OC(C)C1OC(C)=O
cimetidine	Approved Name	DTXSID4020329	Cimetidine	51481-61-9	N''-Cyano-N-methyl-N'-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl}ethyl)guanidine	InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)	63	CN\C(NCCSCC1=C(C)NC=N1)=N/C#N
meclofenamic acid	Approved Name	DTXSID0048559	Meclofenamic acid	644-62-2	2-(2,6-Dichloro-3-methylanilino)benzoic acid	InChI=1S/C14H11Cl2NO2/c1-8-6-7-10(15)13(12(8)16)17-11-5-3-2-4-9(11)14(18)19/h2-7,17H,1H3,(H,18,19)	29	CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1
sulpiride	Approved Name	DTXSID1042574	Sulpiride	15676-16-1	N-[(1-Ethylpyrrolidin-2-yl)methyl]-2-methoxy-5-sulfamoylbenzamide	InChI=1S/C15H23N3O4S/c1-3-18-8-4-5-11(18)10-17-15(19)13-9-12(23(16,20)21)6-7-14(13)22-2/h6-7,9,11H,3-5,8,10H2,1-2H3,(H,17,19)(H2,16,20,21)	53	CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O
amiloride	Approved Name	DTXSID9043853	Amiloride	2609-46-3	3,5-Diamino-N-carbamimidoyl-6-chloropyrazine-2-carboxamide	InChI=1S/C6H8ClN7O/c7-2-4(9)13-3(8)1(12-2)5(15)14-6(10)11/h(H4,8,9,13)(H4,10,11,14,15)	36	NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
cinchocaine	Synonym from Valid Source	DTXSID3045271	Dibucaine	85-79-0	2-Butoxy-N-[2-(diethylamino)ethyl]quinoline-4-carboxamide	InChI=1S/C20H29N3O2/c1-4-7-14-25-19-15-17(16-10-8-9-11-18(16)22-19)20(24)21-12-13-23(5-2)6-3/h8-11,15H,4-7,12-14H2,1-3H3,(H,21,24)	41	CCCCOC1=CC(C(=O)NCCN(CC)CC)=C2C=CC=CC2=N1
levodopa	Expert Validated Synonym	DTXSID9023209	L-Dopa	59-92-7	3-Hydroxy-L-tyrosine	InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1	52	NC(CC1=CC(O)=C(O)C=C1)C(O)=O
ticlopidine	Approved Name	DTXSID5023669	Ticlopidine	55142-85-3	5-[(2-Chlorophenyl)methyl]-4,5,6,7-tetrahydrothieno[3,2-c]pyridine	InChI=1S/C14H14ClNS/c15-13-4-2-1-3-11(13)9-16-7-5-14-12(10-16)6-8-17-14/h1-4,6,8H,5,7,9-10H2	42	ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
pyrimethamine	Approved Name	DTXSID9021217	Pyrimethamine	58-14-0	5-(4-Chlorophenyl)-6-ethylpyrimidine-2,4-diamine	InChI=1S/C12H13ClN4/c1-2-9-10(11(14)17-12(15)16-9)7-3-5-8(13)6-4-7/h3-6H,2H2,1H3,(H4,14,15,16,17)	72	CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1
doxylamine	Approved Name	DTXSID1022970	Doxylamine	469-21-6	N,N-Dimethyl-2-[1-phenyl-1-(pyridin-2-yl)ethoxy]ethan-1-amine	InChI=1S/C17H22N2O/c1-17(20-14-13-19(2)3,15-9-5-4-6-10-15)16-11-7-8-12-18-16/h4-12H,13-14H2,1-3H3	32	CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1
miconazole	Approved Name	DTXSID6023319	Miconazole	22916-47-8	1-{2-(2,4-Dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy]ethyl}-1H-imidazole	InChI=1S/C18H14Cl4N2O/c19-13-2-1-12(16(21)7-13)10-25-18(9-24-6-5-23-11-24)15-4-3-14(20)8-17(15)22/h1-8,11,18H,9-10H2	56	ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1
oxybuprocaine	Synonym from Valid Source	DTXSID7048530	Benoxinate	99-43-4	2-(Diethylamino)ethyl 4-amino-3-butoxybenzoate	InChI=1S/C17H28N2O3/c1-4-7-11-21-16-13-14(8-9-15(16)18)17(20)22-12-10-19(5-2)6-3/h8-9,13H,4-7,10-12,18H2,1-3H3	20	CCCCOC1=CC(=CC=C1N)C(=O)OCCN(CC)CC
ethambutol	Approved Name	DTXSID8023006	Ethambutol	74-55-5	(2S,2'S)-2,2'-(Ethane-1,2-diyldiazanediyl)di(butan-1-ol)	InChI=1S/C10H24N2O2/c1-3-9(7-13)11-5-6-12-10(4-2)8-14/h9-14H,3-8H2,1-2H3/t9-,10-/m0/s1	33	CCC(CO)NCCNC(CC)CO
idoxuridine	Approved Name	DTXSID2045238	Idoxuridine	54-42-2	2'-Deoxy-5-iodouridine	InChI=1S/C9H11IN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1	36	OCC1OC(CC1O)N1C=C(I)C(=O)NC1=O
prednisone	Approved Name	DTXSID4021185	Prednisone	53-03-2	17,21-Dihydroxypregna-1,4-diene-3,11,20-trione	InChI=1S/C21H26O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-15,18,22,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1	64	CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO
amprolium	Approved Name	DTXSID9048140	Amprolium	13082-85-4	1-[(4-Amino-2-propylpyrimidin-5-yl)methyl]-2-methylpyridin-1-ium	InChI=1S/C14H19N4/c1-3-6-13-16-9-12(14(15)17-13)10-18-8-5-4-7-11(18)2/h4-5,7-9H,3,6,10H2,1-2H3,(H2,15,16,17)/q+1	18	CCCC1=NC(N)=C(C[N+]2=CC=CC=C2C)C=N1
dicycloverine	Synonym from Valid Source	DTXSID1022926	Dicyclomine	77-19-0	2-(Diethylamino)ethyl [1,1'-bi(cyclohexane)]-1-carboxylate	InChI=1S/C19H35NO2/c1-3-20(4-2)15-16-22-18(21)19(13-9-6-10-14-19)17-11-7-5-8-12-17/h17H,3-16H2,1-2H3	38	CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1
hexamethonium bromide	NO_MATCH	-	-	-	-	-	-	-
oxetacaine	Synonym	DTXSID0025818	Oxethazaine	126-27-2	2,2'-[(2-Hydroxyethyl)azanediyl]bis[N-methyl-N-(2-methyl-1-phenylpropan-2-yl)acetamide]	InChI=1S/C28H41N3O3/c1-27(2,19-23-13-9-7-10-14-23)29(5)25(33)21-31(17-18-32)22-26(34)30(6)28(3,4)20-24-15-11-8-12-16-24/h7-16,32H,17-22H2,1-6H3	39	CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC1=CC=CC=C1)C(C)(C)CC1=CC=CC=C1
isoxsuprine	Approved Name	DTXSID9023178	Isoxsuprine	395-28-8	4-{1-Hydroxy-2-[(1-phenoxypropan-2-yl)amino]propyl}phenol	InChI=1S/C18H23NO3/c1-13(12-22-17-6-4-3-5-7-17)19-14(2)18(21)15-8-10-16(20)11-9-15/h3-11,13-14,18-21H,12H2,1-2H3	27	CC(COC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1
hydrochlorothiazide	Approved Name	DTXSID2020713	Hydrochlorothiazide	58-93-5	6-Chloro-1,1-dioxo-1,2,3,4-tetrahydro-1lambda~6~,2,4-benzothiadiazine-7-sulfonamide	InChI=1S/C7H8ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-2,10-11H,3H2,(H2,9,12,13)	77	NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl
diflunisal	Approved Name	DTXSID5022932	Diflunisal	22494-42-4	2',4'-Difluoro-4-hydroxy[1,1'-biphenyl]-3-carboxylic acid	InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)	49	OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
captopril	Approved Name	DTXSID1037197	Captopril	62571-86-2	1-[(2S)-2-Methyl-3-sulfanylpropanoyl]-L-proline	InChI=1S/C9H15NO3S/c1-6(5-14)8(11)10-4-2-3-7(10)9(12)13/h6-7,14H,2-5H2,1H3,(H,12,13)/t6-,7+/m1/s1	46	CC(CS)C(=O)N1CCCC1C(O)=O
phenazone	Approved Name	DTXSID6021117	Phenazone	60-80-0	1,5-Dimethyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one	InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3	72	CN1N(C(=O)C=C1C)C1=CC=CC=C1
amylocaine	Approved Name	DTXSID6047862	Amylocaine	644-26-8	1-(Dimethylamino)-2-methylbutan-2-yl benzoate	InChI=1S/C14H21NO2/c1-5-14(2,11-15(3)4)17-13(16)12-9-7-6-8-10-12/h6-10H,5,11H2,1-4H3	17	CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1
pheniramine	Approved Name	DTXSID0023454	Pheniramine	86-21-5	N,N-Dimethyl-3-phenyl-3-(pyridin-2-yl)propan-1-amine	InChI=1S/C16H20N2/c1-18(2)13-11-15(14-8-4-3-5-9-14)16-10-6-7-12-17-16/h3-10,12,15H,11,13H2,1-2H3	32	CN(C)CCC(C1=CC=CC=C1)C1=NC=CC=C1
acebutolol	Approved Name	DTXSID2048539	Acebutolol	37517-30-9	N-(3-Acetyl-4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)butanamide	InChI=1S/C18H28N2O4/c1-5-6-18(23)20-14-7-8-17(16(9-14)13(4)21)24-11-15(22)10-19-12(2)3/h7-9,12,15,19,22H,5-6,10-11H2,1-4H3,(H,20,23)	28	CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
minoxidil	Approved Name	DTXSID9040685	Minoxidil	38304-91-5	3-Oxo-6-(piperidin-1-yl)-3lambda~5~-pyrimidine-2,4-diamine	InChI=1S/C9H15N5O/c10-7-6-8(12-9(11)14(7)15)13-4-2-1-3-5-13/h6H,1-5,10H2,(H2,11,12)	47	NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1
4-hydroxyphenazone	NO_MATCH	-	-	-	-	-	-	-
diphemanil metilsulfate	Synonym from Valid Source	DTXSID9022948	Diphemanil methylsulfate	62-97-5	4-(Diphenylmethylidene)-1,1-dimethylpiperidin-1-ium methyl sulfate	InChI=1S/C20H24N.CH4O4S/c1-21(2)15-13-19(14-16-21)20(17-9-5-3-6-10-17)18-11-7-4-8-12-18;1-5-6(2,3)4/h3-12H,13-16H2,1-2H3;1H3,(H,2,3,4)/q+1;/p-1	29	C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1
niclosamide	Approved Name	DTXSID7040362	Niclosamide	50-65-7	5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide	InChI=1S/C13H8Cl2N2O4/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15/h1-6,18H,(H,16,19)	65	OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O
lidocaine	Approved Name	DTXSID1045166	Lidocaine	137-58-6	N-(2,6-Dimethylphenyl)-N~2~,N~2~-diethylglycinamide	InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)	63	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
sulfaguanidine	Approved Name	DTXSID1023609	Sulfaguanidine	57-67-0	4-Amino-N-carbamimidoylbenzene-1-sulfonamide	InChI=1S/C7H10N4O2S/c8-5-1-3-6(4-2-5)14(12,13)11-7(9)10/h1-4H,8H2,(H4,9,10,11)	51	NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1
tolazoline	Approved Name	DTXSID3023683	Tolazoline	59-98-3	2-Benzyl-4,5-dihydro-1H-imidazole	InChI=1S/C10H12N2/c1-2-4-9(5-3-1)8-10-11-6-7-12-10/h1-5H,6-8H2,(H,11,12)	30	C(C1=NCCN1)C1=CC=CC=C1
tolnaftate	Approved Name	DTXSID3042477	Tolnaftate	2398-96-1	O-Naphthalen-2-yl methyl(3-methylphenyl)carbamothioate	InChI=1S/C19H17NOS/c1-14-6-5-9-17(12-14)20(2)19(22)21-18-11-10-15-7-3-4-8-16(15)13-18/h3-13H,1-2H3	53	CN(C(=S)OC1=CC2=CC=CC=C2C=C1)C1=CC=CC(C)=C1
trimethobenzamide	Approved Name	DTXSID8023711	Trimethobenzamide	138-56-7	N-({4-[2-(Dimethylamino)ethoxy]phenyl}methyl)-3,4,5-trimethoxybenzamide	InChI=1S/C21H28N2O5/c1-23(2)10-11-28-17-8-6-15(7-9-17)14-22-21(24)16-12-18(25-3)20(27-5)19(13-16)26-4/h6-9,12-13H,10-11,14H2,1-5H3,(H,22,24)	25	COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
naloxone	Approved Name	DTXSID8023349	Naloxone	465-65-6	(5alpha)-3,14-Dihydroxy-17-(prop-2-en-1-yl)-4,5-epoxymorphinan-6-one	InChI=1S/C19H21NO4/c1-2-8-20-9-7-18-15-11-3-4-12(21)16(15)24-17(18)13(22)5-6-19(18,23)14(20)10-11/h2-4,14,17,21,23H,1,5-10H2/t14-,17+,18+,19-/m1/s1	40	[H]C12CC3=C4C(OC5C(=O)CCC1(O)C45CCN2CC=C)=C(O)C=C3
khellin	Approved Name	DTXSID9045267	Khellin	82-02-0	4,9-Dimethoxy-7-methyl-5H-furo[3,2-g][1]benzopyran-5-one	InChI=1S/C14H12O5/c1-7-6-9(15)10-11(16-2)8-4-5-18-12(8)14(17-3)13(10)19-7/h4-6H,1-3H3	42	COC1=C2OC(C)=CC(=O)C2=C(OC)C2=C1OC=C2
metronidazole	Approved Name	DTXSID2020892	Metronidazole	443-48-1	2-(2-Methyl-5-nitro-1H-imidazol-1-yl)ethan-1-ol	InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3	79	CC1=NC=C(N1CCO)[N+]([O-])=O
glipizide	Approved Name	DTXSID0040676	Glipizide	29094-61-9	N-(2-{4-[(Cyclohexylcarbamoyl)sulfamoyl]phenyl}ethyl)-5-methylpyrazine-2-carboxamide	InChI=1S/C21H27N5O4S/c1-15-13-24-19(14-23-15)20(27)22-12-11-16-7-9-18(10-8-16)31(29,30)26-21(28)25-17-5-3-2-4-6-17/h7-10,13-14,17H,2-6,11-12H2,1H3,(H,22,27)(H2,25,26,28)	53	CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
apomorphine	Approved Name	DTXSID8022614	Apomorphine	58-00-4	(6aR)-6-Methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol	InChI=1S/C17H17NO2/c1-18-8-7-10-3-2-4-12-15(10)13(18)9-11-5-6-14(19)17(20)16(11)12/h2-6,13,19-20H,7-9H2,1H3/t13-/m1/s1	36	CN1CCC2=CC=CC3=C2C1CC1=C3C(O)=C(O)C=C1
bromocriptine	Approved Name	DTXSID1022687	Bromocriptine	25614-03-3	(5'alpha)-2-Bromo-12'-hydroxy-5'-(2-methylpropyl)-3',6',18-trioxo-2'-(propan-2-yl)ergotaman	InChI=1S/C32H40BrN5O5/c1-16(2)12-24-29(40)37-11-7-10-25(37)32(42)38(24)30(41)31(43-32,17(3)4)35-28(39)18-13-20-19-8-6-9-22-26(19)21(27(33)34-22)14-23(20)36(5)15-18/h6,8-9,13,16-18,23-25,34,42H,7,10-12,14-15H2,1-5H3,(H,35,39)/t18-,23-,24+,25+,31-,32+/m1/s1	38	CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(OC2(O)C2CCCN2C1=O)C(C)C
erythromycin	Approved Name	DTXSID4022991	Erythromycin	114-07-8	(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-{[(2S,3R,4S,6R)-4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy}-14-ethyl-7,12,13-trihydroxy-4-{[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy}-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione (non-preferred name)	InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/t18-,19-,20+,21+,22-,23+,24+,25-,26+,28-,29+,30-,31+,32-,34+,35-,36-,37-/m1/s1	74	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
cotinine	Approved Name	DTXSID1047576	Cotinine	486-56-6	(5S)-1-Methyl-5-(pyridin-3-yl)pyrrolidin-2-one	InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1	55	CN1C(CCC1=O)C1=CN=CC=C1
zimeldine	Approved Name	DTXSID6048462	Zimeldine	56775-88-3	(2Z)-3-(4-Bromophenyl)-N,N-dimethyl-3-(pyridin-3-yl)prop-2-en-1-amine	InChI=1S/C16H17BrN2/c1-19(2)11-9-16(14-4-3-10-18-12-14)13-5-7-15(17)8-6-13/h3-10,12H,11H2,1-2H3/b16-9-	20	CN(C)C\C=C(\C1=CC=C(Br)C=C1)C1=CN=CC=C1
amoxapine	Approved Name	DTXSID7022598	Amoxapine	14028-44-5	2-Chloro-11-(piperazin-1-yl)dibenzo[b,f][1,4]oxazepine	InChI=1S/C17H16ClN3O/c18-12-5-6-15-13(11-12)17(21-9-7-19-8-10-21)20-14-3-1-2-4-16(14)22-15/h1-6,11,19H,7-10H2	56	ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1
metolazone	Approved Name	DTXSID6045167	Metolazone	17560-51-9	7-Chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2,3,4-tetrahydroquinazoline-6-sulfonamide	InChI=1S/C16H16ClN3O3S/c1-9-5-3-4-6-14(9)20-10(2)19-13-8-12(17)15(24(18,22)23)7-11(13)16(20)21/h3-8,10,19H,1-2H3,(H2,18,22,23)	38	CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O
edrophonium chloride	Approved Name	DTXSID1022978	Edrophonium chloride	116-38-1	N-Ethyl-3-hydroxy-N,N-dimethylanilinium chloride	InChI=1S/C10H15NO.ClH/c1-4-11(2,3)9-6-5-7-10(12)8-9;/h5-8H,4H2,1-3H3;1H	24	CC[N+](C)(C)C1=CC(O)=CC=C1
metanephrine	NO_MATCH	-	-	-	-	-	-	-
loxapine	Approved Name	DTXSID7023229	Loxapine	1977-10-2	2-Chloro-11-(4-methylpiperazin-1-yl)dibenzo[b,f][1,4]oxazepine	InChI=1S/C18H18ClN3O/c1-21-8-10-22(11-9-21)18-14-12-13(19)6-7-16(14)23-17-5-3-2-4-15(17)20-18/h2-7,12H,8-11H2,1H3	34	CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2
